category,longshelf_title,author,goodreads_rating,action,notes
rejected_false_match,"Letts Explore GCSE Nineteen Eighty-Four by Orwell, George published by Letts (1990)",Unknown Author,0,not applied,disqualifying keyword (study guide/summary/analysis/companion/adaptation/not-a-book)
rejected_false_match,The Gormenghast Trilogy - Mervyn Peake,Unknown Author,0,not applied,disqualifying keyword (study guide/summary/analysis/companion/adaptation/not-a-book)
no_catalogue_match,"The Oresteia: Agamemnon, The Libation Bearers, The Eumenides",Aeschylus,4.02,n/a,not a Long Shelf title
no_catalogue_match,"The Foundation Novels 7-Book Bundle: Foundation, Foundation and Empire, Second Foundation, Foundation's Edge, Foundation and Earth, Prelude to Foundation, Forward the Foundation","Asimov, Isaac",4.56,n/a,not a Long Shelf title
no_catalogue_match,The Alexiad of Anna Komnene: Artistic Strategy in the Making of a Myth,"Buckley, Penelope",4.5,n/a,not a Long Shelf title
no_catalogue_match,Pellucidar - The Complete Series,"Burroughs, Edgar Rice",3.79,n/a,not a Long Shelf title
no_catalogue_match,Ancient Greece: A History in Eleven Cities by Paul Cartledge (2009-10-22),"Cartledge, Paul",3.39,n/a,not a Long Shelf title
no_catalogue_match,"Star Wars: The Hutt Gambit (The Han Solo Trilogy, #2)","Crispin, A.C.",3.91,n/a,not a Long Shelf title
no_catalogue_match,"Star Wars: The Paradise Snare (The Han Solo Trilogy, #1)","Crispin, A.C.",3.9,n/a,not a Long Shelf title
no_catalogue_match,"Star Wars: Rebel Dawn (The Han Solo Trilogy, #3)","Crispin, A.C.",3.95,n/a,not a Long Shelf title
no_catalogue_match,Don Quijote de la Mancha I,"Cuenot, J.R.",3.89,n/a,not a Long Shelf title
no_catalogue_match,Poddities:  A Creative Tribute To Jack Finney's Novel The Body Snatchers,"Donahue, Suzanne",3.83,n/a,not a Long Shelf title
no_catalogue_match,Shadowrun 15: Burning Bright,"Dowd, Tom",3.82,n/a,not a Long Shelf title
no_catalogue_match,"The Complete Sherlock Holmes [Leatherbound] by Doyle, Arthur Conan (2009) Leather Bound","Doyle, Arthur Conan",4.64,n/a,not a Long Shelf title
no_catalogue_match,Chronicles by Jean Froissart Geoffrey Brereton(2003-04-29),"Froissart, Jean",0,n/a,not a Long Shelf title
no_catalogue_match,Nova Roma 2: Quaestu pro Nova Terra (Nova Roma Series),"Gentry, Anderson *",4.6,n/a,not a Long Shelf title
no_catalogue_match,"Star Wars: The Empire Strikes Back (Star Wars Novelizations, #5)","Glut, Donald F.",4.11,n/a,not a Long Shelf title
no_catalogue_match,The Complete Personal Memoirs of Ulysses S Grant,"Grant, Ulysses S.",4.15,n/a,not a Long Shelf title
no_catalogue_match,"Claudius the God and His Wife Messalina (Claudius, #2)","Graves, Robert",4.19,n/a,not a Long Shelf title
no_catalogue_match,The Tawny Man Trilogy Books 2 & 3: The Golden Fool / Fool's Fate,"Hobb, Robin *",4.77,n/a,not a Long Shelf title
no_catalogue_match,"A History of the American People by Paul Johnson, Harper Perennial","Johnson, Paul",4.4,n/a,not a Long Shelf title
no_catalogue_match,"Star Wars: Return of the Jedi (Star Wars Novelizations, #6)","Kahn, James *",4.07,n/a,not a Long Shelf title
no_catalogue_match,The Tibetans By Kapstein Matthew T,"Kapstein, Matthew",0,n/a,not a Long Shelf title
no_catalogue_match,Novels and Stories: The Call of the Wild / White Fang / The Sea-Wolf / Klondike and Other Stories,"London, Jack",4.28,n/a,not a Long Shelf title
no_catalogue_match,The Romance of the Three Kingdoms,"Luo, Guanzhong",4.36,n/a,not a Long Shelf title
no_catalogue_match,Ruth's Journey: The Authorized Novel of Mammy from Margaret Mitchell's Gone with the Wind,"McCaig, Donald",3.44,n/a,not a Long Shelf title
no_catalogue_match,"Blood Meridian, or, the Evening Redness in the West","McCarthy, Cormac",4.14,n/a,not a Long Shelf title
no_catalogue_match,The Grapes of Wrath - John Steinbeck,"Paquet-Deyris, Anne-Marie",4.28,n/a,not a Long Shelf title
no_catalogue_match,Star Wars: Shadows of the Empire,"Perry, Steve",3.83,n/a,not a Long Shelf title
no_catalogue_match,Fourteen Byzantine Rulers: The Chronographia of Michael Psellus (Penguin Classics),"Psellus, Michael",4.02,n/a,not a Long Shelf title
no_catalogue_match,The Merry Adventures of Robin Hood by Howard Pyle illustrated,"Pyle, Howard",4.07,n/a,not a Long Shelf title
no_catalogue_match,"Blue Mars (Mars Trilogy, #3)","Robinson, Kim Stanley",3.95,n/a,not a Long Shelf title
no_catalogue_match,"Red Mars (Mars Trilogy, #1)","Robinson, Kim Stanley",3.85,n/a,not a Long Shelf title
no_catalogue_match,"Green Mars (Mars Trilogy, #2)","Robinson, Kim Stanley",3.96,n/a,not a Long Shelf title
no_catalogue_match,"Ivanhoe (00) by Scott, Sir Walter [Mass Market Paperback (2000)]",Scot,0,n/a,not a Long Shelf title
no_catalogue_match,The Pillow Book of Sei Shōnagon,Sei Shōnagon,4.02,n/a,not a Long Shelf title
no_catalogue_match,"The Hyperion Cantos 4-Book Bundle: Hyperion, The Fall of Hyperion, Endymion, The Rise of Endymion","Simmons, Dan",4.57,n/a,not a Long Shelf title
no_catalogue_match,"Anglo-Saxon England (Oxford History of England) by Stenton, Frank M. (2001) Paperback",Stenton,4.15,n/a,not a Long Shelf title
no_catalogue_match,Star Wars: Luke Skywalker and the Shadows of Mindor by Matthew Stover (2009-01-22),"Stover, Matthew Woodring",0,n/a,not a Long Shelf title
no_catalogue_match,Roadside Picnic by Arkady Strugatsky & Boris Strugatsky (2012-11-08),"Strugatsky, Arkady",4.11,n/a,not a Long Shelf title
no_catalogue_match,"Destiny's Way by Williams, Walter Jon. (LucasBooks,2003) [Mass Market Paperback]","Williams, Walter Jon *",3.87,n/a,not a Long Shelf title
no_catalogue_match,Musashi by Eiji Yoshikawa,"Yoshikawa, Eiji",4.71,n/a,not a Long Shelf title
no_catalogue_match,"Star Wars: The Last Command (Thrawn Trilogy, #3)","Zahn, Timothy *",4.27,n/a,not a Long Shelf title
no_catalogue_match,"Star Wars: Dark Force Rising (Thrawn Trilogy, #2)","Zahn, Timothy *",4.19,n/a,not a Long Shelf title
no_catalogue_match,"Star Wars: Heir to the Empire (Thrawn Trilogy, #1)","Zahn, Timothy *",4.18,n/a,not a Long Shelf title
no_catalogue_match,Star Wars: Allegiance,"Zahn, Timothy *",4,n/a,not a Long Shelf title
no_catalogue_match,Star Wars: Choices of One,"Zahn, Timothy *",4.1,n/a,not a Long Shelf title
